IndividualID,FragID,ReefZone,LocationID,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,time_without_bleaching,time_alive,min_health_score,time_to_recovery,ITS2,SurvivalT12,tempPC1,tempPC2
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T5,9/3/2024,26.5,Alive,D,3,PartialBleaching,0.5,5.178,NA,1.023023824,14.051415,2,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T6,16/3/2024,26.8,Alive,D,3,PartialBleaching,0.3,5.227,NA,1.022928476,14.18211999,2,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T7,23/3/2024,26.1,Alive,D,3,PartialBleaching,0.3,5.152,NA,1.023149895,13.98381256,2,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T8,30/3/2024,26.7,Alive,D,3,PartialBleaching,0.2,5.137,NA,1.022960334,13.93867187,2,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T9,6/4/2024,28.3,PartiallyDead,D,3,PartialBleaching,0.2,5.225,TLT,1.022441623,14.16514322,2,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T10,13/4/2024,25.8,Alive,D,3,PartialBleaching,0.25,5.23,NA,1.023243649,14.19775422,2,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T11,19/4/2024,24.1,PartiallyDead,D,3,PartialBleaching,0.1,5.227,NA,1.02376184,14.20194239,2,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_C,Windward,FR1,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T12,27/4/2024,25.7,PartiallyDead,D,2,NoBleaching,0,5.288,NA,1.023274748,14.35595354,2,12,2,1,C8,0.5,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T0,4/2/2024,30.8,Alive,D,3,PartialBleaching,0.25,7.86,NA,1.021593521,21.27851291,0,12,2,1,C8,NA,-5.289355926,-0.538289602
EXP11,EXP11_T2,Windward,FR1,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,T1,10/2/2024,29.7,Alive,D,3,PartialBleaching,0.25,7.153,NA,1.021972254,19.37679325,0,12,2,1,C8,NA,-5.289355926,-0.538289602
