IndividualID,FragID,LocationID,ReefZone,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,max_bleaching,SurvivalT12,max_bleaching_adj,tempPC2,tempPC1
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T4,2/3/2024,28.6,Alive,D,3,PartialBleaching,0.4,5.196,NA,1.02234225,14.08418112,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T5,9/3/2024,26.5,Alive,D,3,PartialBleaching,0.5,5.178,NA,1.023023824,14.051415,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T6,16/3/2024,26.8,Alive,D,3,PartialBleaching,0.3,5.227,NA,1.022928476,14.18211999,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T7,23/3/2024,26.1,Alive,D,3,PartialBleaching,0.3,5.152,NA,1.023149895,13.98381256,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T8,30/3/2024,26.7,Alive,D,3,PartialBleaching,0.2,5.137,NA,1.022960334,13.93867187,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T9,6/4/2024,28.3,PartiallyDead,D,3,PartialBleaching,0.2,5.225,TLT,1.022441623,14.16514322,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T10,13/4/2024,25.8,Alive,D,3,PartialBleaching,0.25,5.23,NA,1.023243649,14.19775422,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T11,19/4/2024,24.1,PartiallyDead,D,3,PartialBleaching,0.1,5.227,NA,1.02376184,14.20194239,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_C,FR1,Windward,2,C_2,Tank9,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T12,27/4/2024,25.7,PartiallyDead,D,2,NoBleaching,0,5.288,NA,1.023274748,14.35595354,0.5,PartiallyDead,0.5,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T0,4/2/2024,30.8,Alive,D,3,PartialBleaching,0.25,7.86,NA,1.021593521,21.27851291,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T1,10/2/2024,29.7,Alive,D,3,PartialBleaching,0.25,7.153,NA,1.021972254,19.37679325,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T2,18/2/2024,30.3,Alive,D,2,PartialBleaching,0.7,11.193,NA,1.021766746,30.31035114,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T3,25/2/2024,29.6,Alive,C,3,NoBleaching,0,5.925,NA,1.022006253,16.05117118,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T4,2/3/2024,28.6,Alive,D,3,PartialBleaching,0.4,7.816,NA,1.02234225,21.18590447,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T5,10/3/2024,26.5,Alive,D,3,PartialBleaching,0.5,7.225,NA,1.023023824,19.60631004,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T6,16/3/2024,26.8,PartiallyDead,D,2,NoBleaching,0,7.198,NA,1.022928476,19.5299215,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T7,23/3/2024,26.1,PartiallyDead,D,2,NoBleaching,0,7.226,NA,1.023149895,19.61316567,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T8,30/3/2024,26.7,PartiallyDead,D,2,NoBleaching,0,7.263,NA,1.022960334,19.70733381,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T9,6/4/2024,27.5,PartiallyDead,D,2,NoBleaching,0,7.221,NA,1.022703365,19.58494208,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T10,13/4/2024,25.8,PartiallyDead,C,3,NoBleaching,0,7.274,NA,1.023243649,19.74655147,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T11,19/4/2024,24.1,PartiallyDead,C,3,NoBleaching,0,7.256,NA,1.02376184,19.71480658,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
EXP11,EXP11_T2,FR1,Windward,2,T2_2,Tank11,NA,8.8,151.977937,-23.472098,,Taxon1,,28.31132126,21.69572067,6.615600586,24.78853934,C8/C8a,T12,27/4/2024,25.7,PartiallyDead,D,2,NoBleaching,0,7.091,NA,1.023274748,19.25076902,0.7,PartiallyDead,0.7,-0.94284448,-0.579797576
