IndividualID,FragID,LocationID,TableID,SumpID,TankID,DeathDate,Date_T0,WaterTemp_T0,Survival_T0,CoralWatch_T0,Bleaching_T0,BleachedArea_T0,BW_T0,Comment_T0,Date_T1,WaterTemp_T1,Survival_T1,CoralWatch_T1,Bleaching_T1,BleachedArea_T1,BW_T1,Comment_T1,Date_T2,WaterTemp_T2,Survival_T2,CoralWatch_T2,Bleaching_T2,BleachedArea_T2,BW_T2,Comment_T2,Date_T3,WaterTemp_T3,Survival_T3,CoralWatch_T3,Bleaching_T3,BleachedArea_T3,BW_T3,Comment_T3,Date_T4,WaterTemp_T4,Survival_T4,CoralWatch_T4,Bleaching_T4,BleachedArea_T4,BW_T4,Comment_T4,Date_T5,WaterTemp_T5,Survival_T5,CoralWatch_T5,Bleaching_T5,BleachedArea_T5,BW_T5,Comment_T5,Date_T6,WaterTemp_T6,Survival_T6,CoralWatch_T6,Bleaching_T6,BleachedArea_T6,BW_T6,Comment_T6,Date_T7,WaterTemp_T7,Survival_T7,CoralWatch_T7,Bleaching_T7,BleachedArea_T7,BW_T7,Comment_T7,Date_T8,WaterTemp_T8,Survival_T8,CoralWatch_T8,Bleaching_T8,BleachedArea_T8,BW_T8,Comment_T8,Date_T9,WaterTemp_T9,Survival_T9,CoralWatch_T9,Bleaching_T9,BleachedArea_T9,BW_T9,Comment_T9,Date_T10,WaterTemp_T10,Survival_T10,CoralWatch_T10,Bleaching_T10,BleachedArea_T10,BW_T10,Comment_T10,Date_T11,WaterTemp_T11,Survival_T11,CoralWatch_T11,Bleaching_T11,BleachedArea_T11,BW_T11,Comment_T11,Date_T12,WaterTemp_T12,Survival_T12,CoralWatch_T12,Bleaching_T12,BleachedArea_T12,BW_T12,Comment_T12,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2
EXP76,EXP76_T1,HeronBommie,2,T1_2,Tank10,30/3/2024,7/2/2024,29.8,Alive,D4,NoBleaching,0,8.771,NA,10/2/2024,29.7,Alive,C4,NoBleaching,0,8.925,NA,18/2/2024,30.3,Alive,D3,NoBleaching,0,9.197,Pink,25/2/2024,29.6,Alive,D3,NoBleaching,0,10.592,NA,2/3/2024,28.6,Alive,C2,NoBleaching,0,9.068,NA,10/3/2024,26.5,Alive,C2,NoBleaching,0,9.172,NA,16/3/2024,26.8,PartiallyDead,C2,NoBleaching,0,9.631,NA,23/3/2024,26.1,PartiallyDead,C2,NoBleaching,0,10.586,TN tips,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,4.3,151.903586,-23.440943,Unknown,Taxon1,Unknown,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP76,EXP76_T2,HeronBommie,2,T2_2,Tank11,NA,7/2/2024,29.8,Alive,D5,NoBleaching,0,7.203,NA,10/2/2024,29.7,Alive,C3,NoBleaching,0,7.486,NA,18/2/2024,30.3,Alive,D3,NoBleaching,0,7.543,NA,25/2/2024,29.6,Alive,C2,NoBleaching,0,7.511,NA,2/3/2024,28.6,Alive,C2,NoBleaching,0,7.53,NA,10/3/2024,26.5,Alive,C2,NoBleaching,0,7.529,NA,16/3/2024,26.8,PartiallyDead,C2,NoBleaching,0,7.512,NA,23/3/2024,26.1,PartiallyDead,C2,NoBleaching,0,7.549,NA,30/3/2024,26.7,PartiallyDead,C2,NoBleaching,0,7.5,TN tips,6/4/2024,27.5,PartiallyDead,C2,NoBleaching,0,7.487,NA,13/4/2024,25.8,PartiallyDead,C3,NoBleaching,0,7.492,NA,19/4/2024,24.1,PartiallyDead,C3,NoBleaching,0,7.49,NA,27/4/2024,25.7,PartiallyDead,C3,NoBleaching,0,7.404,NA,4.3,151.903586,-23.440943,Unknown,Taxon1,Unknown,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP76,EXP76_C,HeronBommie,2,C_2,Tank9,26/3/2024,7/2/2024,29.8,Alive,D4,NoBleaching,0,5.568,NA,10/2/2024,29.7,Alive,C3,NoBleaching,0,5.74,NA,18/2/2024,30.3,Alive,D3,NoBleaching,0,5.755,NA,25/2/2024,29.6,Alive,D3,NoBleaching,0,5.746,NA,2/3/2024,28.6,Alive,D3,NoBleaching,0,5.767,NA,9/3/2024,26.5,Alive,C2,NoBleaching,0,5.733,NA,16/3/2024,26.8,PartiallyDead,C2,NoBleaching,0,5.712,TN tips,23/3/2024,26.1,Alive,D1,FullBleaching,1,5.75,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,28.3,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,4.3,151.903586,-23.440943,Unknown,Taxon1,Unknown,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP77,EXP77_T1,HeronBommie,2,T1_2,Tank10,15/3/2024,7/2/2024,29.8,Alive,D5,NoBleaching,0,6.321,NA,10/2/2024,29.7,Alive,C3,NoBleaching,0,6.481,NA,18/2/2024,30.3,Alive,C3,NoBleaching,0,6.418,NA,25/2/2024,29.6,Alive,C2,NoBleaching,0,6.507,NA,2/3/2024,28.6,Alive,C2,NoBleaching,0,6.557,NA,10/3/2024,26.5,PartiallyDead,C2,NoBleaching,0,6.51,RTN tips,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,4.2,151.903586,-23.440943,Dead,Taxon1,Dead,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP77,EXP77_C,HeronBommie,2,C_2,Tank9,17/3/2024,7/2/2024,29.8,Alive,D4,NoBleaching,0,7.88,NA,10/2/2024,29.7,Alive,C3,NoBleaching,0,7.968,NA,18/2/2024,30.3,Alive,C3,NoBleaching,0,8.117,Pink,25/2/2024,29.6,Alive,C3,NoBleaching,0,8.123,NA,2/3/2024,28.6,Alive,C2,NoBleaching,0,8.126,NA,9/3/2024,26.5,PartiallyDead,C2,NoBleaching,0,8.106,RTN,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,28.3,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,4.2,151.903586,-23.440943,Dead,Taxon1,Dead,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP77,EXP77_T2,HeronBommie,2,T2_2,Tank8,NA,7/2/2024,29.8,Alive,D5,NoBleaching,0,9.921,NA,10/2/2024,29.7,Alive,D4,NoBleaching,0,9.989,NA,18/2/2024,30.3,Alive,D3,NoBleaching,0,10.121,NA,25/2/2024,29.6,Alive,D3,NoBleaching,0,10.095,NA,2/3/2024,28.6,Alive,D3,NoBleaching,0,10.125,NA,9/3/2024,26.5,Alive,C2,NoBleaching,0,10.104,NA,16/3/2024,26.8,Alive,C2,NoBleaching,0,10.088,NA,23/3/2024,26.1,Alive,C2,NoBleaching,0,10.031,TN tips,30/3/2024,26.7,PartiallyDead,C2,NoBleaching,0,10.062,TN tips,6/4/2024,28.3,PartiallyDead,C3,NoBleaching,0,10.042,TLT,13/4/2024,25.8,PartiallyDead,C4,NoBleaching,0,10.03,NA,19/4/2024,24.1,PartiallyDead,C4,NoBleaching,0,10.051,PDT,27/4/2024,25.7,PartiallyDead,D4,NoBleaching,0,10.043,NA,4.2,151.903586,-23.440943,Dead,Taxon1,Dead,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP78,EXP78_C,HeronBommie,2,C_2,Tank9,19/4/2024,7/2/2024,29.8,Alive,D5,NoBleaching,0,8.75,NA,10/2/2024,29.7,Alive,C5,NoBleaching,0,8.781,NA,18/2/2024,30.3,Alive,D3,NoBleaching,0,8.97,NA,25/2/2024,29.6,Alive,D3,NoBleaching,0,8.945,Black/green where side cut exposed,2/3/2024,28.6,Alive,C3,PartialBleaching,0.5,8.967,Pink,9/3/2024,26.5,Alive,C3,NoBleaching,0,8.942,NA,16/3/2024,26.8,Alive,C3,NoBleaching,0,8.976,Pink,23/3/2024,26.1,PartiallyDead,C2,NoBleaching,0,8.941,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,28.3,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,5,151.903586,-23.440943,Dead,Taxon1,Dead,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP78,EXP78_T2,HeronBommie,2,T2_2,Tank8,NA,7/2/2024,29.8,Alive,D5,NoBleaching,0,9.511,NA,10/2/2024,29.7,Alive,C6,NoBleaching,0,9.576,NA,18/2/2024,30.3,Alive,D4,NoBleaching,0,9.106,NA,25/2/2024,29.6,Alive,D4,NoBleaching,0,9.69,Black and green parts,2/3/2024,28.6,Alive,C3,NoBleaching,0,9.692,NA,9/3/2024,26.5,Alive,C3,NoBleaching,0,9.672,NA,16/3/2024,26.8,Alive,C3,NoBleaching,0,9.684,Pink,23/3/2024,26.1,Alive,C3,PartialBleaching,0.2,9.672,NA,30/3/2024,26.7,PartiallyDead,C2,NoBleaching,0,9.686,NA,6/4/2024,28.3,PartiallyDead,C3,NoBleaching,0,9.625,NA,13/4/2024,25.8,PartiallyDead,C3,NoBleaching,0,10.247,NA,19/4/2024,24.1,PartiallyDead,C3,NoBleaching,0,9.625,NA,27/4/2024,25.7,PartiallyDead,C3,NoBleaching,0,9.937,NA,5,151.903586,-23.440943,Dead,Taxon1,Dead,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP78,EXP78_T1,HeronBommie,1,T1_1,Tank5,5/3/2024,7/2/2024,29.8,Alive,D4,NoBleaching,0,16.459,NA,10/2/2024,29.7,Alive,C4,NoBleaching,0,16.581,NA,17/2/2024,29.3,Alive,C2,NoBleaching,0,13.42,NA,24/2/2024,30.1,PartiallyDead,C3,PartialBleaching,0.4,16.35,Pink,3/3/2024,28.6,PartiallyDead,C3,NoBleaching,0,16.739,Pink; RTN,9/3/2024,26.5,Dead,NA,NA,NA,NA,NA,16/3/2024,26.8,Dead,NA,NA,NA,NA,NA,23/3/2024,26.1,Dead,NA,NA,NA,NA,NA,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,5,151.903586,-23.440943,Dead,Taxon1,Dead,28.38154793,21.67006493,6.711483002,24.7733281,C8
EXP79,EXP79_T1,HeronBommie,2,T1_2,Tank10,NA,7/2/2024,29.8,Alive,D4,NoBleaching,0,10.371,NA,10/2/2024,29.7,Alive,C3,NoBleaching,0,10.535,NA,18/2/2024,30.3,Alive,C3,NoBleaching,0,11.614,Pink,25/2/2024,29.6,Alive,C3,PartialBleaching,0.6,6.725,NA,2/3/2024,28.6,Alive,C4,NoBleaching,0,10.696,Pink,10/3/2024,26.5,Alive,C3,NoBleaching,0,10.667,Pink,16/3/2024,26.8,Alive,C3,NoBleaching,0,11.071,Pink,23/3/2024,26.1,Alive,C3,PartialBleaching,0.1,10.802,Pink,30/3/2024,26.7,PartiallyDead,C3,NoBleaching,0,12.168,TN tips,6/4/2024,27.5,PartiallyDead,C3,NoBleaching,0,10.84,NA,13/4/2024,25.8,PartiallyDead,C4,PartialBleaching,0.7,12.453,NA,19/4/2024,24.1,Alive,C4,PartialBleaching,0.6,11.948,NA,27/4/2024,25.7,PartiallyDead,C4,NoBleaching,0,10.957,NA,5,151.903586,-23.440943,Unknown,Taxon1,Unknown,28.38154793,21.67006493,6.711483002,24.7733281,C8/C8a
