IndividualID,FragID,LocationID,TableID,SumpID,TankID,DeathDate,Depth,Longitude,Latitude,Reassessment_survival,Taxon,Reassessment_bleaching,TempMaxMM,TempMinMM,TempRange,TempMean,ITS2,TimePoint,Date,WaterTemp,Survival,CoralWatchLetter,CoralWatchNumber,Bleaching,BleachedArea,BW,Comment,WaterDensity,SkelletonWeight,max_bleaching,SurvivalT12,max_bleaching_adj,tempPC2,tempPC1
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T3,24/2/2024,30.1,Alive,D,3,PartialBleaching,0.75,8.55,NA,1.021835536,23.15583895,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T4,2/3/2024,28.6,Alive,D,3,PartialBleaching,0.75,8.601,NA,1.02234225,23.31371089,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T5,9/3/2024,26.5,Alive,D,3,PartialBleaching,0.9,8.638,NA,1.023023824,23.44073442,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T6,16/3/2024,26.8,Alive,D,2,PartialBleaching,0.9,8.655,NA,1.022928476,23.48311622,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T7,23/3/2024,26.1,Alive,D,3,PartialBleaching,0.9,8.629,NA,1.023149895,23.42125748,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T8,30/3/2024,26.7,Dead,NA,NA,NA,NA,NA,NA,1.022960334,0,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T9,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,NA,1.022703365,0,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T10,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,NA,1.023243649,0,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T2,H5b,1,T2_1,Tank2,30/3/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T12,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,NA,1.023274748,0,0.9,Dead,0.9,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T0,3/2/2024,30.7,Alive,C,5,NoBleaching,0,8.033,NA,1.021628308,21.74812107,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T1,10/2/2024,29.7,Alive,D,3,PartialBleaching,0.2,7.388,NA,1.021972254,20.01338579,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T2,17/2/2024,29.3,Alive,D,4,PartialBleaching,0.5,5.915,NA,1.022107816,16.02680259,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T3,24/2/2024,30.1,Alive,D,3,PartialBleaching,0.6,7.461,NA,1.021835536,20.2065163,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T4,3/3/2024,28.6,Alive,D,2,PartialBleaching,0.6,7.501,NA,1.02234225,20.33207131,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T5,9/3/2024,26.5,Alive,D,1,FullBleaching,1,7.52,NA,1.023023824,20.4068445,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T6,16/3/2024,26.8,Alive,D,1,FullBleaching,1,7.516,NA,1.022928476,20.3927327,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T7,23/3/2024,26.1,Alive,D,1,FullBleaching,1,7.537,NA,1.023149895,20.45729721,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T8,30/3/2024,26.7,PartiallyDead,D,1,FullBleaching,1,7.547,NA,1.022960334,20.47793588,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T9,6/4/2024,27.5,Dead,NA,NA,NA,NA,NA,NA,1.022703365,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T10,13/4/2024,25.8,Dead,NA,NA,NA,NA,NA,NA,1.023243649,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP01,EXP01_T1,H5b,1,T1_1,Tank3,3/4/2024,7,151.99738,-23.43217,,Taxon5,,28.16449738,21.75531197,6.40918541,24.72754298,C78,T12,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,NA,1.023274748,0,1,Dead,0.999999,-0.538289602,-5.289355926
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T0,3/2/2024,30.7,Alive,C,5,NoBleaching,0,7.85,NA,1.021628308,21.25267651,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T1,10/2/2024,29.7,Alive,D,4,NoBleaching,0,6.333,NA,1.021972254,17.15549163,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T2,17/2/2024,29.3,Alive,D,3,PartialBleaching,0.3,4.805,NA,1.022107816,13.01923693,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T3,24/2/2024,30.1,Alive,D,4,PartialBleaching,0.4,6.799,NA,1.021835536,18.41363146,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T4,3/3/2024,28.6,Alive,D,3,PartialBleaching,0.5,6.471,NA,1.02234225,17.54017244,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T5,9/3/2024,26.5,Alive,D,3,PartialBleaching,0.7,5.475,NA,1.023023824,14.85737681,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T6,16/3/2024,26.8,Alive,D,2,PartialBleaching,0.7,6.522,NA,1.022928476,17.69576938,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T7,23/3/2024,26.1,Alive,D,2,PartialBleaching,0.95,6.514,NA,1.023149895,17.68062015,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T8,30/3/2024,26.7,Alive,D,2,PartialBleaching,0.9,6.541,NA,1.022960334,17.748268,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T9,6/4/2024,27.5,Alive,D,2,PartialBleaching,0.85,6.525,NA,1.022703365,17.69723682,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T10,13/4/2024,25.8,PartiallyDead,D,2,PartialBleaching,0.6,6.537,NA,1.023243649,17.74583543,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T11,19/4/2024,24.1,Dead,NA,NA,NA,NA,NA,NA,1.02376184,0,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_C,H5b,2,C_2,Tank6,18/4/2024,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T12,27/4/2024,25.7,Dead,NA,NA,NA,NA,NA,NA,1.023274748,0,0.95,Dead,0.95,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T0,3/2/2024,30.7,Alive,D,5,NoBleaching,0,8,NA,1.021628308,21.65877861,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T1,10/2/2024,29.7,Alive,D,4,NoBleaching,0,8.155,NA,1.021972254,22.09111547,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
EXP02,EXP02_T2,H5b,1,T2_1,Tank4,NA,5,151.99738,-23.43217,Alive,Taxon5,NoBleaching,28.16276932,21.75304794,6.409721375,24.72533137,C78/noName,T2,17/2/2024,29.3,Alive,D,3,NoBleaching,0,6.892,NA,1.022107816,18.67400227,0.75,PartiallyDead,0.75,-0.422739886,-5.29763619
