DateTime,Temperature
02/01/2024 15:37:22,25.69
02/01/2024 15:42:22,25.65
02/01/2024 15:47:22,25.44
02/01/2024 15:52:22,27.15
02/01/2024 15:57:22,28.83
02/01/2024 16:02:22,29.68
02/01/2024 16:07:22,30.11
02/01/2024 16:12:22,30.54
02/01/2024 16:17:22,30.80
02/01/2024 16:22:22,31.36
02/01/2024 16:27:22,31.79
02/01/2024 16:32:22,31.96
02/01/2024 16:37:22,31.66
02/01/2024 16:42:22,31.53
02/01/2024 16:47:22,31.53
02/01/2024 16:52:22,31.92
02/01/2024 16:57:22,32.00
02/01/2024 17:02:22,32.04
02/01/2024 17:07:22,31.96
02/01/2024 17:12:22,31.96
02/01/2024 17:17:22,31.92
02/01/2024 17:22:22,31.83
02/01/2024 17:27:22,31.74
02/01/2024 17:32:22,31.66
02/01/2024 17:37:22,31.61
02/01/2024 17:42:22,31.61
02/01/2024 17:47:22,31.53
02/01/2024 17:52:22,31.44
02/01/2024 17:57:22,31.44
02/01/2024 18:02:22,31.44
02/01/2024 18:07:22,31.40
02/01/2024 18:12:22,31.40
02/01/2024 18:17:22,31.36
02/01/2024 18:22:22,31.36
02/01/2024 18:27:22,31.31
02/01/2024 18:32:22,31.31
02/01/2024 18:37:22,31.27
02/01/2024 18:42:22,31.36
02/01/2024 18:47:22,31.31
02/01/2024 18:52:22,31.31
02/01/2024 18:57:22,31.27
02/01/2024 19:02:22,31.23
02/01/2024 19:07:22,31.27
02/01/2024 19:12:22,31.31
02/01/2024 19:17:22,31.31
02/01/2024 19:22:22,31.27
02/01/2024 19:27:22,31.23
02/01/2024 19:32:22,31.31
02/01/2024 19:37:22,31.27
02/01/2024 19:42:22,31.31
02/01/2024 19:47:22,31.31
02/01/2024 19:52:22,31.31
02/01/2024 19:57:22,31.31
02/01/2024 20:02:22,31.27
02/01/2024 20:07:22,31.27
02/01/2024 20:12:22,31.31
02/01/2024 20:17:22,31.27
02/01/2024 20:22:22,31.31
02/01/2024 20:27:22,31.27
02/01/2024 20:32:22,31.31
02/01/2024 20:37:22,31.31
02/01/2024 20:42:22,31.31
02/01/2024 20:47:22,31.27
02/01/2024 20:52:22,31.27
02/01/2024 20:57:22,31.31
02/01/2024 21:02:22,31.31
02/01/2024 21:07:22,31.31
02/01/2024 21:12:22,31.27
02/01/2024 21:17:22,31.31
02/01/2024 21:22:22,31.36
02/01/2024 21:27:22,31.40
02/01/2024 21:32:22,31.31
02/01/2024 21:37:22,31.31
02/01/2024 21:42:22,31.36
02/01/2024 21:47:22,31.31
02/01/2024 21:52:22,31.31
02/01/2024 21:57:22,31.31
02/01/2024 22:02:22,31.31
02/01/2024 22:07:22,31.31
02/01/2024 22:12:22,31.31
02/01/2024 22:17:22,31.31
02/01/2024 22:22:22,31.36
02/01/2024 22:27:22,31.36
02/01/2024 22:32:22,31.36
02/01/2024 22:37:22,31.40
02/01/2024 22:42:22,31.40
02/01/2024 22:47:22,31.36
02/01/2024 22:52:22,31.40
02/01/2024 22:57:22,31.40
02/01/2024 23:02:22,31.44
02/01/2024 23:07:22,31.40
02/01/2024 23:12:22,31.40
02/01/2024 23:17:22,31.40
02/01/2024 23:22:22,31.40
02/01/2024 23:27:22,31.44
02/01/2024 23:32:22,31.40
02/01/2024 23:37:22,31.40
02/01/2024 23:42:22,31.44
02/01/2024 23:47:22,31.44
02/01/2024 23:52:22,31.40
02/01/2024 23:57:22,31.40
02/02/2024 00:02:22,31.44
02/02/2024 00:07:22,31.40
02/02/2024 00:12:22,31.40
02/02/2024 00:17:22,31.40
02/02/2024 00:22:22,31.44
02/02/2024 00:27:22,31.49
02/02/2024 00:32:22,31.49
02/02/2024 00:37:22,31.49
02/02/2024 00:42:22,31.44
02/02/2024 00:47:22,31.44
02/02/2024 00:52:22,31.44
02/02/2024 00:57:22,31.44
02/02/2024 01:02:22,31.44
02/02/2024 01:07:22,31.44
02/02/2024 01:12:22,31.49
02/02/2024 01:17:22,31.49
02/02/2024 01:22:22,31.49
02/02/2024 01:27:22,31.49
02/02/2024 01:32:22,31.44
02/02/2024 01:37:22,31.53
02/02/2024 01:42:22,31.53
02/02/2024 01:47:22,31.44
02/02/2024 01:52:22,31.44
02/02/2024 01:57:22,31.44
02/02/2024 02:02:22,31.44
02/02/2024 02:07:22,31.44
02/02/2024 02:12:22,31.44
02/02/2024 02:17:22,31.44
02/02/2024 02:22:22,31.44
02/02/2024 02:27:22,31.40
02/02/2024 02:32:22,31.49
02/02/2024 02:37:22,31.49
02/02/2024 02:42:22,31.49
02/02/2024 02:47:22,31.49
02/02/2024 02:52:22,31.57
02/02/2024 02:57:22,31.49
02/02/2024 03:02:22,31.53
02/02/2024 03:07:22,31.53
02/02/2024 03:12:22,31.49
02/02/2024 03:17:22,31.44
02/02/2024 03:22:22,31.49
02/02/2024 03:27:22,31.53
02/02/2024 03:32:22,31.53
02/02/2024 03:37:22,31.53
02/02/2024 03:42:22,31.53
02/02/2024 03:47:22,31.49
02/02/2024 03:52:22,31.53
02/02/2024 03:57:22,31.53
02/02/2024 04:02:22,31.49
02/02/2024 04:07:22,31.44
02/02/2024 04:12:22,31.53
02/02/2024 04:17:22,31.44
02/02/2024 04:22:22,31.49
02/02/2024 04:27:22,31.49
02/02/2024 04:32:22,31.53
02/02/2024 04:37:22,31.49
02/02/2024 04:42:22,31.53
02/02/2024 04:47:22,31.49
