SampleName,10,11,21,18,27,16,30,31,26,22,37,15,20,28,36
Spis-01,0,0,0,0,0,0,0,0,0,0,0,0.712957822,0,0,0
Spis-01-D,0,0,0,0,0,0,0,0,0,0,0,0,0.87424782,0,0
Spis-02,0,0,0,0.795769557,0,0,0,0,0,0,0,0,0,0,0
Spis-02-D,0,0,0,0.839402495,0,0,0,0,0,0,0,0,0,0,0
Spis-02T1,0,0,0,0.815517318,0,0,0,0,0,0,0,0,0,0,0
Spis-02T1-D,0,0,0,0.807850722,0,0,0,0,0,0,0,0,0,0,0
Spis-02T2,0,0,0,0.828170407,0,0,0,0,0,0,0,0,0,0,0
Spis-02T2-D,0,0,0,0.817603909,0,0,0,0,0,0,0,0,0,0,0
Spis-03,0,0,0,0.794465878,0,0,0,0,0,0,0,0,0,0,0
Spis-03-D,0,0,0,0,0,0.889623183,0,0,0,0,0,0,0,0,0
Spis-04,0,0,0,0.796664205,0,0,0,0,0,0,0,0,0,0,0
Spis-04-D,0,0,0,0.822589282,0,0,0,0,0,0,0,0,0,0,0
Spis-04C,0,0.00705974,0,0.86654657,0,0,0,0,0,0,0,0,0,0,0
Spis-04C-D,0,0,0,0,0,0.862851624,0,0,0,0,0,0,0,0,0
Spis-05,0,0,0,0.785029648,0,0,0,0,0,0,0,0,0,0,0
Spis-05-D,0,0,0,0.847959422,0,0,0,0,0,0,0,0,0,0,0
Spis-05C,0.00133044,0,0,0.867970677,0,0,0,0,0,0,0,0,0,0,0
Spis-05C-D,0,0,0,0.871941417,0,0,0,0,0,0,0,0,0,0,0
Spis-05T1,0.001521378,0,0,0.829908654,0,0,0,0,0,0,0,0,0,0,0
Spis-05T1-D,0.002615051,0,0,0.827412217,0,0,0,0,0,0,0,0,0,0,0
Spis-05T2,0,0,0,0.812273989,0,0,0,0,0,0,0,0,0,0,0
Spis-05T2-D,0,0,0,0.836533194,0,0,0,0,0,0,0,0,0,0,0
Spis-06,0,0,0,0.735375256,0,0,0,0,0,0,0,0,0,0,0
Spis-06-D,0,0,0,0.722604115,0,0,0,0,0,0,0,0,0,0,0
Spis-07,0,0,0,0.780176489,0,0,0,0,0,0,0,0,0,0,0
Spis-07-D,0,0,0,0.848644739,0,0,0,0,0,0,0,0,0,0,0
Spis-07C,0,0,0,0.853532881,0,0,0,0,0,0,0,0,0,0,0
Spis-07C-D,0,0,0,0.824392161,0,0,0,0,0,0,0,0,0,0,0
Spis-07T1,0,0,0,0.806620543,0,0,0,0,0,0,0,0,0,0,0
Spis-07T1-D,0,0,0,0.844712242,0,0,0,0,0,0,0,0,0,0,0
Spis-08,0,0,0,0.793894354,0,0,0,0,0,0,0,0,0,0,0
Spis-08-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spis-08C,0,0,0,0.783316748,0,0,0,0,0,0,0,0,0,0,0
Spis-08C-D,0,0,0,0.791949198,0,0,0,0,0,0,0,0,0,0,0
Spis-09,0,0,0,0.77801952,0,0,0,0,0,0,0,0,0,0,0
Spis-09-D,0,0,0,0.767800862,0,0,0,0,0,0,0,0,0,0,0
Spis-10,0,0,0,0.764955409,0,0,0,0,0,0,0,0,0,0,0
Spis-10-D,0,0,0,0,0,0.786838422,0,0,0,0,0,0,0,0,0
Spis-11,0,0,0.778972343,0,0,0,0,0,0,0,0,0,0,0,0
Spis-11-D,0,0,0.808536491,0,0,0,0,0,0,0,0,0,0,0,0
Spis-11C,0,0,0.782351603,0,0,0,0,0,0,0,0,0,0,0,0
Spis-11C-D,0,0,0.773113497,0,0,0,0,0,0,0,0,0,0,0,0
Spis-11T2,0,0,0.774319684,0,0,0,0,0,0,0,0,0,0,0,0
Spis-11T2-D,0,0,0.77976656,0,0,0,0,0,0,0,0,0,0,0,0
Spis-12,0,0,0,0.852377025,0,0,0,0,0,0,0,0,0,0,0
Spis-12-D,0,0,0,0.879303543,0,0,0,0,0,0,0,0,0,0,0
Spis-12C,0,0,0,0.829042143,0,0,0,0,0,0,0,0,0,0,0
Spis-12C-D,0,0,0,0.814999392,0,0,0,0,0,0,0,0,0,0,0
Spis-12T1,0,0,0,0.802163131,0,0,0,0,0,0,0,0,0,0,0
Spis-12T1-D,0,0,0,0.828376161,0,0,0,0,0,0,0,0,0,0,0
Spis-12T2,0,0,0,0.790734824,0,0,0,0,0,0,0,0,0,0,0
Spis-12T2-D,0,0,0,0.832410733,0,0,0,0,0,0,0,0,0,0,0
Spis-13,0,0,0,0.825194296,0,0,0,0,0,0,0,0,0,0,0
